file,status,action,reason,duration,start,end,trimmed_duration,trim_head,trim_tail,threshold
dullahan.mp4,ok,trimmed,trim-detected,12.167,1.450,11.050,9.600,1.450,1.117,189.60
eclipse.mp4,skip,skip,no-non-ui-segment,7.300,0.000,7.300,7.300,0.000,0.000,107.20
eden.mp4,skip,skip,no-non-ui-segment,2.603,0.000,2.603,2.603,0.000,0.000,83.20
elude.mp4,ok,trimmed,trim-detected,13.633,1.450,11.550,10.100,1.450,2.083,46.40
encase.mp4,ok,trimmed,trim-detected,12.066,1.950,11.549,9.599,1.950,0.517,151.20
EQUINOX.mp4,skip,skip,no-meaningful-trim,10.867,0.000,10.867,10.867,0.000,0.000,25.00
erebus.mp4,ok,trimmed,trim-detected,23.643,3.450,18.550,15.100,3.450,5.093,122.40
ethereal.mp4,ok,trimmed,trim-detected,12.841,0.936,10.398,9.463,0.936,2.443,200.80
evanescent.mp4,ok,trimmed,trim-detected,12.042,0.441,9.865,9.424,0.441,2.177,25.00
evenight.mp4,ok,trimmed,trim-detected,11.833,0.450,9.550,9.100,0.450,2.283,25.00
exotic.mp4,ok,trimmed,trim-detected,14.767,0.450,12.550,12.100,0.450,2.217,25.00
exoticapex.mp4,ok,trimmed,trim-detected,12.133,0.950,10.550,9.600,0.950,1.583,60.00
exoticvoid.mp4,ok,trimmed,trim-detected,12.133,1.950,11.050,9.100,1.950,1.083,87.20
express.mp4,ok,trimmed,trim-detected,11.150,1.450,11.050,9.600,1.450,0.100,37.20
faith.mp4,ok,trimmed,trim-detected,16.883,2.950,12.050,9.100,2.950,4.833,76.80
fault.mp4,ok,trimmed,trim-detected,8.233,0.000,4.050,4.050,0.000,4.183,25.00
felled.mp4,ok,trimmed,trim-detected,14.500,1.450,10.550,9.100,1.450,3.950,167.60
flora.mp4,ok,trimmed,trim-detected,6.883,1.450,5.050,3.600,1.450,1.833,51.20
floraevergreen.mp4,ok,trimmed,trim-detected,13.750,1.950,10.550,8.600,1.950,3.200,144.40
floraflorest.mp4,ok,trimmed,trim-detected,15.267,3.950,13.050,9.100,3.950,2.217,100.40
flow.mp4,ok,trimmed,trim-detected,9.867,0.950,9.050,8.100,0.950,0.817,56.40
flowed.mp4,ok,trimmed,trim-detected,10.292,0.948,10.035,9.086,0.948,0.257,67.60
flushed.mp4,ok,trimmed,trim-detected,4.033,0.000,2.050,2.050,0.000,1.983,25.00
flushedlobotomy.mp4,ok,trimmed,trim-detected,9.678,0.949,8.545,7.596,0.949,1.133,25.00
flushedtroll.mp4,ok,trimmed,trim-detected,28.864,2.972,26.748,23.776,2.972,2.116,44.80
flutter.mp4,ok,trimmed,trim-detected,4.067,0.000,3.050,3.050,0.000,1.017,25.00
FROSTVEIL.mp4,skip,skip,no-meaningful-trim,9.000,0.000,9.000,9.000,0.000,0.000,25.00
frostwood.mp4,ok,trimmed,trim-detected,10.935,1.441,10.488,9.047,1.441,0.447,48.00
galaxy.mp4,ok,trimmed,trim-detected,12.608,0.947,10.019,9.072,0.947,2.589,41.20
gargantua.mp4,ok,trimmed,trim-detected,10.667,0.950,10.550,9.600,0.950,0.117,56.40
gingerbread.mp4,ok,trimmed,trim-detected,15.100,3.450,13.050,9.600,3.450,2.050,105.20
glacier.mp4,ok,trimmed,trim-detected,4.067,0.950,3.550,2.600,0.950,0.517,41.60
glitch.mp4,skip,skip,no-meaningful-trim,8.933,0.000,8.933,8.933,0.000,0.000,25.00
glock.mp4,ok,trimmed,trim-detected,7.767,0.000,4.050,4.050,0.000,3.717,25.00
glocktheglockofthesky.mp4,ok,trimmed,trim-detected,10.667,0.950,9.550,8.600,0.950,1.117,25.00
graveborn.mp4,ok,trimmed,trim-detected,10.733,1.450,10.733,9.283,1.450,0.000,25.00
gravitational.mp4,ok,trimmed,trim-detected,12.876,0.938,9.932,8.994,0.938,2.944,52.00
grief.mp4,ok,trimmed,trim-detected,10.707,0.960,10.151,9.191,0.960,0.556,55.60
guardian.mp4,ok,trimmed,trim-detected,12.850,2.950,12.050,9.100,2.950,0.800,197.20
hades.mp4,ok,trimmed,trim-detected,12.923,0.958,10.128,9.170,0.958,2.795,62.00
harnessed.mp4,ok,trimmed,trim-detected,12.017,1.450,10.550,9.100,1.450,1.467,25.00
harnessedelements.mp4,ok,trimmed,trim-detected,14.939,7.777,13.747,5.970,7.777,1.192,47.60
harvester.mp4,ok,trimmed,trim-detected,10.867,0.450,10.050,9.600,0.450,0.817,25.00
hazard.mp4,ok,trimmed,trim-detected,6.519,0.454,4.588,4.134,0.454,1.931,25.00
hazardrays.mp4,ok,trimmed,trim-detected,10.433,0.450,8.550,8.100,0.450,1.883,25.00
headless.mp4,ok,trimmed,trim-detected,10.400,0.950,10.050,9.100,0.950,0.350,136.40
headlesshorseman.mp4,ok,trimmed,trim-detected,11.533,0.450,9.550,9.100,0.450,1.983,25.00
helios.mp4,ok,trimmed,trim-detected,13.400,0.959,9.636,8.677,0.959,3.764,46.00
honey.mp4,ok,trimmed,trim-detected,9.135,1.408,5.881,4.473,1.408,3.254,57.20
hope.mp4,ok,trimmed,trim-detected,14.867,1.450,13.050,11.600,1.450,1.817,94.80
hypervolt.mp4,ok,trimmed,trim-detected,13.171,1.430,10.407,8.977,1.430,2.764,26.00
hypervolteverstorm.mp4,ok,trimmed,trim-detected,9.967,0.450,6.550,6.100,0.450,3.417,25.00
icarus.mp4,ok,trimmed,trim-detected,10.836,0.479,10.094,9.615,0.479,0.743,25.00
illusionary.mp4,ok,trimmed,trim-detected,31.600,1.450,29.550,28.100,1.450,2.050,205.20
impeached.mp4,ok,trimmed,trim-detected,10.202,0.944,9.987,9.043,0.944,0.215,103.20
impeachedimpeach.mp4,skip,skip,no-meaningful-trim,10.033,0.000,10.033,10.033,0.000,0.000,25.00
inkleak.mp4,ok,trimmed,trim-detected,10.233,0.450,8.550,8.100,0.450,1.683,25.00
innovator.mp4,ok,trimmed,trim-detected,9.988,0.951,9.988,9.038,0.951,0.000,67.20
jackfrost.mp4,ok,trimmed,trim-detected,12.279,1.452,11.061,9.610,1.452,1.218,74.80
jade.mp4,ok,trimmed,trim-detected,13.536,0.958,12.650,11.692,0.958,0.886,55.60
jazz.mp4,ok,trimmed,trim-detected,15.200,1.445,13.506,12.061,1.445,1.694,69.60
jazzorchestra.mp4,ok,trimmed,trim-detected,10.933,1.471,10.694,9.223,1.471,0.240,106.00
juxtaposition.mp4,ok,trimmed,trim-detected,13.935,0.938,10.419,9.481,0.938,3.516,281.60
kyawthuite.mp4,ok,trimmed,trim-detected,14.533,0.950,12.550,11.600,0.950,1.983,54.80
kyawthuiteremembrance.mp4,ok,trimmed,trim-detected,12.233,0.950,10.050,9.100,0.950,2.183,25.00
lamenthyr.mp4,ok,trimmed,trim-detected,18.625,0.450,12.050,11.600,0.450,6.575,25.00
lantern.mp4,ok,trimmed,trim-detected,14.383,0.950,13.550,12.600,0.950,0.833,32.40
leviathan.mp4,skip,skip,no-meaningful-trim,34.533,0.000,34.533,34.533,0.000,0.000,25.00
lifeguard.mp4,ok,trimmed,trim-detected,7.900,0.000,6.550,6.550,0.000,1.350,25.00
